GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,Tense,0,43,0,4,0,9,0,5,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,WordType,0,43,0,4,0,9,0,5,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,WordType.new WordType() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,WordType.new WordType() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,Tense.new Tense() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,Tense.new Tense() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,WordType.new WordType() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.enums,Tense.new Tense() {...},0,7,0,0,0,2,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer,CoreController,6,82,1,7,1,20,1,12,0,9
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer,CoreController.SentenceOutputData,0,9,0,0,0,1,0,1,0,1
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.adapters,LocalBucketAdapter,31,123,1,7,8,27,1,8,0,5
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.configurations,CoreConfig,0,3,0,0,0,1,0,1,0,1
Nonsense Generator,com.hgrm.nonsensegenerator,NonsenseGeneratorApplication,5,3,0,0,2,1,1,1,1,1
Nonsense Generator,com.hgrm.nonsensegenerator.apilayer,ApiController.SentenceInputData,9,0,0,0,1,0,1,0,1,0
Nonsense Generator,com.hgrm.nonsensegenerator.apilayer,ApiController,16,3,0,0,3,1,3,1,3,1
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,Word,2,30,2,6,1,6,2,4,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,SentenceTemplate,0,69,0,10,0,16,0,8,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,SemanticTreeEdge,0,20,0,0,0,7,0,2,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,Adjective,0,9,0,0,0,4,0,1,0,1
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,Noun,0,9,0,0,0,4,0,1,0,1
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,Verb,2,45,2,8,1,10,2,5,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.entities,SemanticTree,0,206,2,21,0,45,2,19,0,8
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.factories,WordFactory,0,44,0,6,0,10,0,7,0,3
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,ToxicityAnalyzerService,2,53,1,3,1,17,1,3,0,2
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,SentenceHistoryService,0,33,0,0,0,10,0,3,0,3
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,SentenceGeneratorService,0,180,0,7,0,27,0,14,0,10
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,SentenceStructureService,0,15,0,0,0,4,0,1,0,1
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,SyntaxAnalyzerService,2,181,1,20,1,44,1,16,0,5
Nonsense Generator,com.hgrm.nonsensegenerator.corelayer.services,DictionaryService,2,267,6,22,1,54,6,23,0,13
